70,2022-3-29 15:0,2 hour,America/Anguilla,Important topic: coffee
71,2022-4-25 15:0,15 min,America/Los_Angeles,Important topic: hurricanes
72,2022-4-7 8:0,1 hour,America/Chicago,I am angry about skating
73,2022-4-30 16:0,15 min,America/Los_Angeles,I love socialism and you should too!
74,2022-3-5 9:15,1 hour,America/Los_Angeles,I am angry about matches
75,2022-3-20 14:30,30 min,America/Vancouver,Ruminations on the existence of books
76,2022-3-5 16:30,30 min,Atlantic/Bermuda,I love bohemians and you should too!
77,2022-3-19 8:30,15 min,America/Anchorage,I love hockey and you should too!
78,2022-4-20 12:15,30 min,America/New_York,Important topic: pipes
79,2022-3-3 16:15,30 min,America/Chihuahua,Important topic: shipping
80,2022-3-23 11:0,30 min,America/Chicago,Important topic: leather
81,2022-3-26 9:0,15 min,America/Caracas,Ruminations on the existence of pineapple
82,2022-4-9 9:0,30 min,America/New_York,I am angry about armies
83,2022-4-19 10:30,1 hour,America/Chicago,Important topic: clowns
84,2022-3-8 12:30,4 hour,America/Mazatlan,Ruminations on the existence of pipe organs
85,2022-4-11 17:15,1 hour,America/Chicago,Ruminations on the existence of skating
86,2022-4-24 9:30,1 hour,America/Regina,I am angry about astronomy
87,2022-4-3 12:0,2 hour,America/Whitehorse,Thoughts on justice
88,2022-4-30 14:15,1 hour,America/Mazatlan,I am angry about leather
89,2022-3-14 8:0,30 min,America/Los_Angeles,I am angry about whales
90,2022-3-11 16:0,15 min,Atlantic/Azores,I love funerals and you should too!
91,2022-3-20 15:30,4 hour,Pacific/Honolulu,Important topic: bohemians
92,2022-3-6 8:0,30 min,America/Chicago,Important topic: motherhood
93,2022-4-15 16:0,30 min,America/St_Johns,Thoughts on pottery
94,2022-3-15 8:30,30 min,America/Mazatlan,Thoughts on whales
95,2022-3-11 10:15,15 min,America/New_York,Important topic: ferry boats
96,2022-3-18 9:0,30 min,America/New_York,I love gorillas and you should too!
97,2022-4-16 9:15,15 min,Pacific/Honolulu,Important topic: clowns
98,2022-4-14 12:15,1 hour,America/Mazatlan,Important topic: sharks
99,2022-4-24 8:0,1 hour,America/Anchorage,I love mining and you should too!
100,2022-4-17 9:15,30 min,America/Havana,I love mining and you should too!
101,2022-3-23 14:15,1 hour,America/Chicago,I love insects and you should too!
102,2022-3-10 8:30,1 hour,America/Anchorage,Thoughts on monkeys
103,2022-3-13 9:30,1 hour,Atlantic/Bermuda,I love zebras and you should too!
104,2022-4-27 15:30,1 hour,America/Cayman,Ruminations on the existence of crime
105,2022-4-11 16:0,30 min,Pacific/Honolulu,Thoughts on motherhood
106,2022-3-23 15:30,30 min,America/Cancun,Ruminations on the existence of carpentry
107,2022-4-10 12:0,1 hour,America/Puerto_Rico,Ruminations on the existence of mummies
108,2022-4-2 15:30,1 hour,America/Mazatlan,Important topic: hotels
109,2022-4-29 13:0,15 min,America/Vancouver,Important topic: balloons
110,2022-4-22 11:30,30 min,America/Anchorage,Thoughts on carousels
111,2022-3-23 16:30,30 min,America/Toronto,I love hurricanes and you should too!
112,2022-4-10 16:30,1 hour,America/Los_Angeles,Ruminations on the existence of engineering
113,2022-3-18 16:15,30 min,Pacific/Honolulu,I am angry about coffee
114,2022-3-2 12:15,1 hour,America/Nome,I love golf and you should too!
115,2022-3-24 13:30,30 min,America/Chicago,Ruminations on the existence of Olympic games
116,2022-3-9 9:0,1 hour,America/Iqaluit,Ruminations on the existence of sharks
117,2022-3-11 13:30,30 min,America/Toronto,I love zebras and you should too!
118,2022-4-13 9:15,15 min,America/Chicago,Important topic: volleyball
119,2022-4-10 10:0,30 min,America/Detroit,Thoughts on weaving
120,2022-3-29 16:30,30 min,America/Cambridge_Bay,Ruminations on the existence of milk
121,2022-3-13 17:0,15 min,America/Anchorage,Thoughts on bread
122,2022-4-30 10:15,15 min,America/Los_Angeles,Thoughts on snakes
123,2022-3-8 17:15,1 hour,America/Los_Angeles,I am angry about rugby
124,2022-4-15 10:15,30 min,America/Vancouver,Important topic: balloons
125,2022-3-5 8:15,1 hour,America/Chicago,I am angry about skating
126,2022-4-10 11:30,1 hour,America/Los_Angeles,I love coffee and you should too!
127,2022-4-29 9:30,1 hour,America/Chicago,I am angry about volcanoes
128,2022-3-23 12:0,1 hour,Pacific/Honolulu,I love billiards and you should too!
129,2022-3-21 8:0,30 min,America/Anchorage,I love motherhood and you should too!
130,2022-4-2 9:30,30 min,America/Los_Angeles,Ruminations on the existence of zeppelins
131,2022-3-12 12:30,30 min,America/New_York,Important topic: zebras
132,2022-3-3 13:30,30 min,America/New_York,Ruminations on the existence of zeppelins
133,2022-3-1 14:0,1 hour,America/Los_Angeles,I am angry about seesaws
134,2022-3-30 13:0,1 hour,America/New_York,I love bakeries and you should too!
135,2022-3-24 10:15,1 hour,America/Mazatlan,I am angry about insects
136,2022-3-1 16:15,1 hour,America/Los_Angeles,Thoughts on criminals
137,2022-4-27 9:30,15 min,America/Chicago,Thoughts on airports
138,2022-3-26 12:0,30 min,America/Detroit,I love ferry boats and you should too!
139,2022-3-25 10:15,15 min,America/Toronto,I love zebras and you should too!
140,2022-4-21 12:30,30 min,America/Yellowknife,Ruminations on the existence of printing
141,2022-4-21 11:0,1 hour,America/Los_Angeles,Ruminations on the existence of Olympic games
142,2022-3-4 16:15,1 hour,America/Rankin_Inlet,I love World War 1 and you should too!
143,2022-4-3 12:0,1 hour,America/Mazatlan,I am angry about music
144,2022-4-10 10:0,30 min,America/Los_Angeles,I love pilots and you should too!
145,2022-3-13 8:30,30 min,America/Los_Angeles,I love ferry boats and you should too!
146,2022-4-15 11:15,1 hour,America/Anchorage,Ruminations on the existence of bread
147,2022-3-18 9:15,30 min,America/Anchorage,Ruminations on the existence of tanning
148,2022-4-1 9:30,1 hour,America/Los_Angeles,Thoughts on sailing
149,2022-4-26 11:30,30 min,America/Los_Angeles,I love pilots and you should too!
150,2022-3-20 16:15,1 hour,America/Los_Angeles,Important topic: pilots
151,2022-4-28 14:15,4 hour,America/Mazatlan,Thoughts on zeppelins
152,2022-3-3 17:15,30 min,America/Anchorage,Ruminations on the existence of Buddhism
153,2022-3-16 10:30,1 hour,America/Chicago,Thoughts on journalism
154,2022-4-20 15:0,15 min,Pacific/Honolulu,I am angry about engineering
155,2022-3-11 14:15,15 min,America/Yellowknife,Ruminations on the existence of seesaws
156,2022-3-27 17:30,30 min,America/Los_Angeles,Thoughts on cactus
157,2022-3-29 14:0,1 hour,Atlantic/Bermuda,I am angry about clowns
158,2022-4-28 16:30,1 hour,America/Los_Angeles,I am angry about mining
159,2022-4-6 14:15,15 min,America/Barbados,Ruminations on the existence of railroads
160,2022-4-26 9:15,1 hour,America/Chicago,Important topic: pineapple
161,2022-4-30 13:0,30 min,America/St_Johns,Thoughts on Europe
162,2022-4-19 9:0,15 min,America/Denver,I love shoes and you should too!
163,2022-4-10 17:0,30 min,America/Edmonton,I am angry about fortune tellers
164,2022-3-12 16:15,15 min,America/Yellowknife,Important topic: skating
165,2022-3-26 8:0,15 min,America/New_York,I am angry about hockey
166,2022-4-29 16:15,1 hour,America/St_Johns,I am angry about South America
167,2022-4-1 8:15,30 min,America/Anchorage,Thoughts on ferry boats
168,2022-4-17 15:15,4 hour,Pacific/Funafuti,Important topic: balloons
169,2022-4-24 9:15,15 min,America/Denver,I am angry about oil
170,2022-3-23 13:15,15 min,Pacific/Honolulu,I am angry about matches
171,2022-4-27 10:0,1 hour,America/Los_Angeles,I am angry about seesaws
172,2022-4-21 14:0,1 hour,America/Mazatlan,Thoughts on snakes
173,2022-4-11 14:30,30 min,America/Denver,I am angry about pineapple
174,2022-3-5 9:0,1 hour,America/Boise,I love criminals and you should too!
175,2022-4-21 17:30,15 min,Atlantic/Bermuda,Important topic: pipe organs
176,2022-4-16 11:15,30 min,America/Iqaluit,Ruminations on the existence of rhinoceros
177,2022-4-3 8:15,30 min,America/Toronto,Ruminations on the existence of games
178,2022-4-20 15:30,15 min,Atlantic/Azores,Thoughts on whales
179,2022-4-20 9:30,30 min,America/Chicago,I am angry about blacksmiths
180,2022-4-30 10:0,1 hour,Atlantic/Azores,Thoughts on football
181,2022-4-23 12:30,30 min,Pacific/Funafuti,Important topic: bohemians
182,2022-4-26 16:30,1 hour,America/New_York,I am angry about hockey
183,2022-4-14 13:15,15 min,America/Cambridge_Bay,Thoughts on crime
184,2022-4-3 9:15,1 hour,America/Toronto,Thoughts on giants
185,2022-3-2 17:0,30 min,America/Chicago,I love radiology and you should too!
186,2022-3-16 17:15,15 min,Pacific/Funafuti,I am angry about balloons
187,2022-4-1 17:0,30 min,America/Denver,Ruminations on the existence of bakeries
188,2022-4-16 14:30,30 min,America/Regina,Thoughts on shells
189,2022-4-27 13:30,30 min,America/Rankin_Inlet,Thoughts on insects
190,2022-3-24 8:0,30 min,America/Anchorage,Ruminations on the existence of Europe
191,2022-4-20 17:15,1 hour,America/Los_Angeles,Important topic: carousels
192,2022-3-11 16:30,15 min,America/Mazatlan,I am angry about giants
193,2022-4-22 9:30,1 hour,America/Anchorage,Ruminations on the existence of skating
194,2022-3-13 11:15,30 min,America/Barbados,Thoughts on bohemians
195,2022-4-24 12:0,1 hour,America/Santo_Domingo,Ruminations on the existence of playing cards
196,2022-4-30 10:0,30 min,America/Vancouver,I love golf and you should too!
197,2022-4-12 15:0,1 hour,America/Edmonton,I am angry about artists
198,2022-3-25 16:15,15 min,America/Los_Angeles,I am angry about playing cards
199,2022-3-9 15:15,1 hour,America/Los_Angeles,I love rice and you should too!
200,2022-4-13 13:0,30 min,America/Chihuahua,Important topic: soccer
201,2022-3-18 13:0,1 hour,America/Monterrey,I am angry about postcards
202,2022-3-20 12:0,1 hour,America/Yellowknife,Thoughts on rugby
203,2022-4-27 8:15,30 min,America/Mazatlan,Thoughts on Buddhism
204,2022-3-27 10:30,30 min,America/St_Johns,Thoughts on murderers
205,2022-3-5 14:0,30 min,America/Denver,Important topic: disasters
206,2022-4-9 17:0,4 hour,America/Chihuahua,I am angry about fortune tellers
207,2022-4-22 10:0,1 hour,Pacific/Honolulu,Important topic: skating
208,2022-4-23 8:15,15 min,America/New_York,I love socialism and you should too!
209,2022-4-18 17:0,30 min,America/New_York,I am angry about sailing
210,2022-4-29 11:15,30 min,America/Inuvik,Ruminations on the existence of leather
211,2022-3-2 13:15,15 min,America/Los_Angeles,Ruminations on the existence of games
212,2022-4-21 15:30,30 min,America/Chicago,Thoughts on billiards
213,2022-4-17 12:30,30 min,America/New_York,I am angry about zeppelins
214,2022-4-30 11:30,1 hour,America/Chicago,Ruminations on the existence of coal
215,2022-3-6 13:30,30 min,America/Miquelon,I am angry about murderers
216,2022-4-8 11:0,15 min,America/Denver,Important topic: soccer
217,2022-4-24 12:0,15 min,America/Los_Angeles,I am angry about golf
218,2022-3-14 17:30,1 hour,America/Toronto,Important topic: shipping
219,2022-3-15 8:30,1 hour,America/Cambridge_Bay,Important topic: games
220,2022-4-22 16:0,30 min,America/Mazatlan,I am angry about pipe organs
221,2022-3-17 17:15,30 min,America/Anchorage,I am angry about bohemians
222,2022-3-23 16:0,1 hour,America/Mazatlan,I love post office and you should too!
223,2022-4-13 11:15,30 min,America/Mazatlan,I am angry about journalism
224,2022-3-29 12:30,15 min,America/Chicago,I love South America and you should too!
225,2022-4-1 16:15,30 min,America/Tijuana,Important topic: World War 1
226,2022-3-23 13:15,1 hour,America/St_Johns,I love seesaws and you should too!
227,2022-4-26 14:0,30 min,America/Los_Angeles,Thoughts on volcanoes
228,2022-4-17 13:0,1 hour,America/Juneau,Thoughts on wrestling
229,2022-4-15 14:15,1 hour,America/Los_Angeles,Ruminations on the existence of monkeys
230,2022-3-25 14:0,30 min,America/Toronto,Thoughts on insects
231,2022-3-14 13:0,2 hour,America/Yellowknife,Thoughts on pipe organs
232,2022-4-15 16:0,4 hour,America/Los_Angeles,I am angry about hockey
233,2022-3-22 9:30,15 min,America/Rankin_Inlet,Important topic: billiards
234,2022-4-9 17:15,1 hour,America/Juneau,Thoughts on seesaws
235,2022-3-11 15:30,15 min,America/Mazatlan,Important topic: blacksmiths
236,2022-4-11 15:15,1 hour,America/New_York,Ruminations on the existence of journalism
237,2022-4-30 8:15,1 hour,America/Whitehorse,Important topic: paper boys
238,2022-3-27 8:30,30 min,America/Cayman,Important topic: oil
239,2022-4-22 15:15,30 min,Pacific/Majuro,I am angry about zeppelins
240,2022-4-1 9:30,1 hour,America/Chicago,I love donkeys and you should too!
241,2022-4-29 15:30,1 hour,America/Edmonton,I am angry about whales
242,2022-3-9 10:0,15 min,America/Mazatlan,Important topic: clowns
243,2022-4-22 13:30,30 min,Atlantic/Bermuda,Thoughts on cotton
244,2022-4-21 11:30,30 min,America/Regina,Important topic: clowns
245,2022-4-1 11:15,1 hour,America/Chicago,Important topic: printing
246,2022-4-25 14:30,30 min,America/Chicago,Thoughts on volleyball
247,2022-3-2 13:30,15 min,America/Halifax,I love socialism and you should too!
248,2022-3-4 9:15,1 hour,America/Yellowknife,Important topic: pipes
249,2022-3-11 13:15,30 min,America/Miquelon,Thoughts on blacksmiths
250,2022-4-8 12:30,4 hour,America/Toronto,Thoughts on bakeries
251,2022-4-9 13:0,15 min,America/Detroit,I am angry about giants
252,2022-4-5 9:15,30 min,America/Tijuana,Ruminations on the existence of engineering
253,2022-3-28 9:15,30 min,America/Regina,Important topic: donkeys
254,2022-3-18 8:0,30 min,Atlantic/Azores,Ruminations on the existence of crime
255,2022-3-8 11:30,30 min,Atlantic/Bermuda,Ruminations on the existence of billiards
256,2022-3-22 11:0,1 hour,Pacific/Majuro,I love monkeys and you should too!
257,2022-4-1 8:0,30 min,America/Chicago,Ruminations on the existence of monkeys
258,2022-3-16 15:0,30 min,America/Mazatlan,Ruminations on the existence of wrestling
259,2022-3-9 11:30,30 min,America/Havana,I love leather and you should too!
260,2022-3-12 13:15,1 hour,America/Mazatlan,Ruminations on the existence of volleyball
261,2022-4-17 12:30,30 min,America/Bogota,Ruminations on the existence of mummies
262,2022-3-22 8:0,15 min,America/Monterrey,Ruminations on the existence of rhinoceros
263,2022-3-20 11:15,15 min,America/Anchorage,I am angry about Europe
264,2022-4-4 10:30,15 min,America/Ojinaga,Thoughts on bears
265,2022-3-3 10:30,15 min,America/Vancouver,I am angry about volleyball
266,2022-4-16 8:15,30 min,America/Toronto,Important topic: giants
267,2022-4-20 8:30,30 min,America/Los_Angeles,Thoughts on rice
268,2022-3-17 13:0,1 hour,America/Yellowknife,I love books and you should too!
269,2022-3-11 15:15,4 hour,America/Chicago,Important topic: Olympic games
270,2022-3-17 17:15,30 min,America/Los_Angeles,Ruminations on the existence of volleyball
271,2022-4-15 11:15,1 hour,America/Havana,Important topic: vaccines
272,2022-3-3 15:15,1 hour,America/Chicago,I love pottery and you should too!
273,2022-4-29 12:15,1 hour,America/Anchorage,Thoughts on bohemians
274,2022-4-18 14:0,30 min,America/Boise,Thoughts on rugby
275,2022-3-8 16:30,1 hour,America/Los_Angeles,I love bears and you should too!
276,2022-3-9 17:0,15 min,America/Rankin_Inlet,Ruminations on the existence of leather
277,2022-3-3 13:0,30 min,America/Los_Angeles,Ruminations on the existence of radiology
278,2022-4-28 16:30,1 hour,Atlantic/Azores,I am angry about carousels
279,2022-3-6 16:0,1 hour,America/St_Johns,Ruminations on the existence of bread
280,2022-3-10 15:30,1 hour,America/Toronto,Ruminations on the existence of postcards
281,2022-4-20 9:15,1 hour,America/Mazatlan,I am angry about marionettes
282,2022-4-25 10:0,30 min,America/Guatemala,Ruminations on the existence of newspapers
283,2022-3-29 14:0,1 hour,Pacific/Honolulu,I love shoes and you should too!
284,2022-3-18 12:15,1 hour,America/Puerto_Rico,I love postcards and you should too!
285,2022-4-4 12:15,15 min,Pacific/Honolulu,I am angry about pottery
286,2022-3-7 13:0,1 hour,America/New_York,I love shells and you should too!
287,2022-3-9 12:0,1 hour,Atlantic/Bermuda,Thoughts on donkeys
288,2022-4-5 15:0,1 hour,America/Mazatlan,Ruminations on the existence of bats
289,2022-3-27 16:30,1 hour,America/Los_Angeles,Important topic: sailing
290,2022-3-21 10:30,30 min,America/St_Johns,Ruminations on the existence of spiritism
291,2022-4-1 15:0,15 min,America/Yellowknife,Important topic: bears
292,2022-4-20 16:30,2 hour,America/Juneau,Ruminations on the existence of armies
293,2022-3-8 12:15,1 hour,America/Cambridge_Bay,Thoughts on donkeys
294,2022-4-24 17:0,1 hour,America/Los_Angeles,Ruminations on the existence of radiology
295,2022-4-16 8:0,1 hour,America/Mazatlan,Ruminations on the existence of music
296,2022-4-2 10:0,15 min,America/Mazatlan,Important topic: bohemians
297,2022-3-8 9:30,1 hour,America/Los_Angeles,Ruminations on the existence of airports
298,2022-3-21 16:30,1 hour,America/Detroit,Important topic: marionettes
299,2022-4-14 12:30,30 min,America/Detroit,Thoughts on paper boys
300,2022-4-2 10:0,1 hour,America/Los_Angeles,Ruminations on the existence of hunting
301,2022-4-19 16:15,30 min,America/Cambridge_Bay,Thoughts on sharks
302,2022-4-5 10:0,30 min,America/Vancouver,Important topic: journalism
303,2022-3-11 15:15,15 min,America/Nome,I am angry about bakeries
304,2022-3-21 17:15,15 min,America/Los_Angeles,Important topic: whales
305,2022-4-20 9:0,30 min,America/Los_Angeles,Important topic: rhinoceros
306,2022-4-4 12:0,2 hour,Pacific/Honolulu,Ruminations on the existence of pilots
307,2022-3-21 16:15,1 hour,America/Edmonton,I am angry about airports
308,2022-3-10 14:30,30 min,America/Chicago,I am angry about matches
309,2022-4-9 16:0,1 hour,America/Los_Angeles,Thoughts on pineapple
310,2022-3-22 8:30,1 hour,America/Winnipeg,Ruminations on the existence of billiards
311,2022-3-13 11:30,1 hour,America/Monterrey,I love bakeries and you should too!
312,2022-3-8 12:15,30 min,America/Chicago,Ruminations on the existence of football
313,2022-3-12 13:30,1 hour,America/Vancouver,Ruminations on the existence of volleyball
314,2022-3-17 17:15,1 hour,America/Anchorage,Thoughts on blacksmiths
315,2022-3-3 8:15,30 min,America/Tegucigalpa,I love hurricanes and you should too!
316,2022-3-16 10:15,1 hour,America/Caracas,Important topic: clowns
317,2022-3-12 11:15,1 hour,America/Whitehorse,Important topic: blacksmiths
318,2022-4-14 16:15,1 hour,America/Toronto,I am angry about post office
319,2022-4-2 15:30,15 min,America/Managua,Ruminations on the existence of books
320,2022-4-17 12:0,1 hour,Atlantic/Bermuda,I am angry about balloons
321,2022-3-6 10:0,30 min,America/Nuuk,I am angry about lighthouses
322,2022-4-9 16:0,1 hour,America/St_Johns,Thoughts on bears
323,2022-3-20 14:30,15 min,America/Denver,Thoughts on socialism
324,2022-4-21 17:15,15 min,America/Los_Angeles,Thoughts on politics
325,2022-3-12 16:0,30 min,America/Caracas,Thoughts on bears
326,2022-4-4 12:30,1 hour,America/Los_Angeles,I love books and you should too!
327,2022-4-9 10:30,1 hour,America/New_York,Important topic: cactus
328,2022-3-17 10:30,30 min,America/Chihuahua,I am angry about wrestling
329,2022-4-2 15:0,30 min,America/Toronto,Important topic: World War 1
330,2022-4-6 10:15,1 hour,America/Los_Angeles,Thoughts on pipe organs
331,2022-4-27 16:15,15 min,America/Guatemala,Important topic: giants
332,2022-4-29 15:15,1 hour,Atlantic/Bermuda,Important topic: playing cards
333,2022-4-5 10:15,1 hour,America/New_York,I am angry about politics
334,2022-3-13 8:30,30 min,America/Anchorage,Thoughts on railroads
335,2022-4-20 15:30,1 hour,America/Swift_Current,Ruminations on the existence of balloons
336,2022-3-9 9:15,30 min,America/Inuvik,Thoughts on mummies
337,2022-4-15 13:0,1 hour,America/Chicago,Ruminations on the existence of clowns
338,2022-4-15 8:15,30 min,America/Los_Angeles,Thoughts on marionettes
339,2022-3-26 14:15,1 hour,America/Nome,Ruminations on the existence of giants
340,2022-4-20 9:15,30 min,America/Los_Angeles,Important topic: rhinoceros
341,2022-3-1 11:30,15 min,America/New_York,Thoughts on motherhood
342,2022-4-28 17:15,30 min,America/Anchorage,Thoughts on vaccines
343,2022-3-10 15:0,4 hour,America/New_York,Ruminations on the existence of rhinoceros
344,2022-3-3 13:30,30 min,America/Whitehorse,I love pottery and you should too!
345,2022-3-15 13:30,1 hour,America/New_York,I love volcanoes and you should too!
346,2022-4-4 8:30,2 hour,America/Toronto,I am angry about sports
347,2022-3-12 8:30,30 min,America/Los_Angeles,Thoughts on cactus
348,2022-3-23 16:15,1 hour,America/Los_Angeles,Ruminations on the existence of shoes
349,2022-4-14 10:30,1 hour,America/Toronto,I am angry about matches
350,2022-3-28 13:30,15 min,America/Vancouver,Important topic: wrestling
351,2022-3-30 14:0,15 min,America/Toronto,Thoughts on matches
352,2022-4-18 14:30,30 min,America/Los_Angeles,I love vaccines and you should too!
353,2022-3-19 11:30,30 min,America/New_York,Ruminations on the existence of pottery
354,2022-3-17 13:15,30 min,America/Mazatlan,I am angry about shipping
355,2022-3-23 15:15,4 hour,America/Los_Angeles,Important topic: zebras
356,2022-3-13 11:30,30 min,America/Mazatlan,I love World War 1 and you should too!
357,2022-3-15 16:0,30 min,America/Cayman,Important topic: wrestling
358,2022-4-9 8:0,2 hour,America/Mazatlan,I am angry about books
359,2022-4-8 13:0,4 hour,Asia/Anadyr,Important topic: lighthouses
360,2022-4-20 11:15,30 min,America/Chicago,I am angry about cotton
361,2022-3-1 9:30,30 min,Asia/Anadyr,Important topic: matches
362,2022-3-27 12:0,15 min,America/Ojinaga,I love monkeys and you should too!
363,2022-3-29 10:30,1 hour,America/Chicago,Ruminations on the existence of post office
364,2022-3-1 10:0,30 min,Atlantic/Bermuda,Important topic: insects
365,2022-3-23 13:30,1 hour,America/Caracas,Important topic: soccer
366,2022-4-1 16:0,30 min,America/New_York,Thoughts on World War 1
367,2022-3-21 16:30,30 min,America/Detroit,I love seesaws and you should too!
368,2022-4-30 10:30,1 hour,America/Guatemala,Thoughts on bats
369,2022-3-18 14:0,1 hour,Pacific/Honolulu,I am angry about post office
370,2022-4-8 9:15,30 min,Pacific/Honolulu,Important topic: volleyball
371,2022-4-19 11:15,1 hour,America/Anchorage,Ruminations on the existence of pottery
372,2022-3-7 9:30,15 min,America/Anchorage,Ruminations on the existence of radiology
373,2022-3-9 17:15,30 min,Atlantic/Azores,I love coffee and you should too!
374,2022-3-26 9:15,1 hour,America/New_York,Thoughts on South America
375,2022-3-8 9:30,30 min,America/Los_Angeles,I am angry about bananas
376,2022-3-7 8:30,1 hour,America/Mazatlan,I love airports and you should too!
377,2022-3-23 14:15,15 min,America/Denver,I love volleyball and you should too!
378,2022-3-27 11:30,1 hour,America/Toronto,I love criminals and you should too!
379,2022-4-9 10:30,1 hour,America/St_Johns,Important topic: pineapple
380,2022-4-6 12:15,1 hour,Pacific/Honolulu,Important topic: crime
381,2022-3-1 13:15,30 min,America/Los_Angeles,I love volleyball and you should too!
382,2022-4-19 14:30,30 min,America/Chicago,Thoughts on artists
